"","anno","mes","fecha","ciudad","temperatura"
"1",1967,"1",1967-01-01,"Bogota",NA
"2",1968,"1",1968-01-01,"Bogota",12.2
"3",1969,"1",1969-01-01,"Bogota",12.8
"4",1970,"1",1970-01-01,"Bogota",NA
"5",1971,"1",1971-01-01,"Bogota",12.8
"6",1972,"1",1972-01-01,"Bogota",12.9
"7",1973,"1",1973-01-01,"Bogota",13.6
"8",1974,"1",1974-01-01,"Bogota",12.2
"9",1975,"1",1975-01-01,"Bogota",12.3
"10",1976,"1",1976-01-01,"Bogota",12.2
"11",1977,"1",1977-01-01,"Bogota",NA
"12",1978,"1",1978-01-01,"Bogota",NA
"13",1979,"1",1979-01-01,"Bogota",NA
"14",1980,"1",1980-01-01,"Bogota",13.4
"15",1981,"1",1981-01-01,"Bogota",12.4
"16",1982,"1",1982-01-01,"Bogota",12.6
"17",1983,"1",1983-01-01,"Bogota",14
"18",1984,"1",1984-01-01,"Bogota",12.3
"19",1985,"1",1985-01-01,"Bogota",12.3
"20",1986,"1",1986-01-01,"Bogota",13
"21",1987,"1",1987-01-01,"Bogota",13
"22",1988,"1",1988-01-01,"Bogota",13
"23",1989,"1",1989-01-01,"Bogota",12.7
"24",1990,"1",1990-01-01,"Bogota",13.2
"25",1991,"1",1991-01-01,"Bogota",13.3
"26",1992,"1",1992-01-01,"Bogota",13.5
"27",1993,"1",1993-01-01,"Bogota",13.8
"28",1994,"1",1994-01-01,"Bogota",13.2
"29",1995,"1",1995-01-01,"Bogota",12.5
"30",1996,"1",1996-01-01,"Bogota",11.1
"31",1997,"1",1997-01-01,"Bogota",NA
"32",1998,"1",1998-01-01,"Bogota",14.2
"33",1999,"1",1999-01-01,"Bogota",13.2
"34",2000,"1",2000-01-01,"Bogota",12.5
"35",2001,"1",2001-01-01,"Bogota",12.2
"36",2002,"1",2002-01-01,"Bogota",13.5
"37",2003,"1",2003-01-01,"Bogota",13.6
"38",2004,"1",2004-01-01,"Bogota",12.8
"39",2005,"1",2005-01-01,"Bogota",NA
"40",2006,"1",2006-01-01,"Bogota",13.5
"41",2007,"1",2007-01-01,"Bogota",13.7
"42",2008,"1",2008-01-01,"Bogota",12.9
"43",2009,"1",2009-01-01,"Bogota",13.2
"44",2010,"1",2010-01-01,"Bogota",13.6
"45",2011,"1",2011-01-01,"Bogota",NA
"46",2012,"1",2012-01-01,"Bogota",NA
"47",2013,"1",2013-01-01,"Bogota",13.5
"48",2014,"1",2014-01-01,"Bogota",13.7
"49",2015,"1",2015-01-01,"Bogota",13.4
"50",1967,"2",1967-02-01,"Bogota",NA
"51",1968,"2",1968-02-01,"Bogota",12.9
"52",1969,"2",1969-02-01,"Bogota",13.8
"53",1970,"2",1970-02-01,"Bogota",13.9
"54",1971,"2",1971-02-01,"Bogota",12.5
"55",1972,"2",1972-02-01,"Bogota",12.6
"56",1973,"2",1973-02-01,"Bogota",13.3
"57",1974,"2",1974-02-01,"Bogota",12.9
"58",1975,"2",1975-02-01,"Bogota",12.8
"59",1976,"2",1976-02-01,"Bogota",12.4
"60",1977,"2",1977-02-01,"Bogota",NA
"61",1978,"2",1978-02-01,"Bogota",NA
"62",1979,"2",1979-02-01,"Bogota",NA
"63",1980,"2",1980-02-01,"Bogota",13.2
"64",1981,"2",1981-02-01,"Bogota",13.9
"65",1982,"2",1982-02-01,"Bogota",13.8
"66",1983,"2",1983-02-01,"Bogota",14.6
"67",1984,"2",1984-02-01,"Bogota",12.6
"68",1985,"2",1985-02-01,"Bogota",12.1
"69",1986,"2",1986-02-01,"Bogota",12.5
"70",1987,"2",1987-02-01,"Bogota",13.9
"71",1988,"2",1988-02-01,"Bogota",13.7
"72",1989,"2",1989-02-01,"Bogota",12.7
"73",1990,"2",1990-02-01,"Bogota",13.1
"74",1991,"2",1991-02-01,"Bogota",14.3
"75",1992,"2",1992-02-01,"Bogota",13.9
"76",1993,"2",1993-02-01,"Bogota",13.8
"77",1994,"2",1994-02-01,"Bogota",13.7
"78",1995,"2",1995-02-01,"Bogota",12.7
"79",1996,"2",1996-02-01,"Bogota",12.4
"80",1997,"2",1997-02-01,"Bogota",NA
"81",1998,"2",1998-02-01,"Bogota",14.6
"82",1999,"2",1999-02-01,"Bogota",13.3
"83",2000,"2",2000-02-01,"Bogota",12.8
"84",2001,"2",2001-02-01,"Bogota",13.4
"85",2002,"2",2002-02-01,"Bogota",14.2
"86",2003,"2",2003-02-01,"Bogota",14.6
"87",2004,"2",2004-02-01,"Bogota",13.2
"88",2005,"2",2005-02-01,"Bogota",14
"89",2006,"2",2006-02-01,"Bogota",13.7
"90",2007,"2",2007-02-01,"Bogota",12.8
"91",2008,"2",2008-02-01,"Bogota",13.3
"92",2009,"2",2009-02-01,"Bogota",13.3
"93",2010,"2",2010-02-01,"Bogota",NA
"94",2011,"2",2011-02-01,"Bogota",NA
"95",2012,"2",2012-02-01,"Bogota",13
"96",2013,"2",2013-02-01,"Bogota",13.9
"97",2014,"2",2014-02-01,"Bogota",13.7
"98",2015,"2",2015-02-01,"Bogota",14
"99",1967,"3",1967-03-01,"Bogota",NA
"100",1968,"3",1968-03-01,"Bogota",13.3
"101",1969,"3",1969-03-01,"Bogota",13.6
"102",1970,"3",1970-03-01,"Bogota",13.8
"103",1971,"3",1971-03-01,"Bogota",13.3
"104",1972,"3",1972-03-01,"Bogota",13.5
"105",1973,"3",1973-03-01,"Bogota",14.3
"106",1974,"3",1974-03-01,"Bogota",13
"107",1975,"3",1975-03-01,"Bogota",13
"108",1976,"3",1976-03-01,"Bogota",13.2
"109",1977,"3",1977-03-01,"Bogota",NA
"110",1978,"3",1978-03-01,"Bogota",NA
"111",1979,"3",1979-03-01,"Bogota",NA
"112",1980,"3",1980-03-01,"Bogota",14.2
"113",1981,"3",1981-03-01,"Bogota",13.7
"114",1982,"3",1982-03-01,"Bogota",13.8
"115",1983,"3",1983-03-01,"Bogota",14.5
"116",1984,"3",1984-03-01,"Bogota",13.2
"117",1985,"3",1985-03-01,"Bogota",13.6
"118",1986,"3",1986-03-01,"Bogota",13
"119",1987,"3",1987-03-01,"Bogota",13.6
"120",1988,"3",1988-03-01,"Bogota",13.5
"121",1989,"3",1989-03-01,"Bogota",12.3
"122",1990,"3",1990-03-01,"Bogota",13.8
"123",1991,"3",1991-03-01,"Bogota",13.7
"124",1992,"3",1992-03-01,"Bogota",14.6
"125",1993,"3",1993-03-01,"Bogota",14.1
"126",1994,"3",1994-03-01,"Bogota",13.7
"127",1995,"3",1995-03-01,"Bogota",13.4
"128",1996,"3",1996-03-01,"Bogota",12.8
"129",1997,"3",1997-03-01,"Bogota",NA
"130",1998,"3",1998-03-01,"Bogota",14.8
"131",1999,"3",1999-03-01,"Bogota",13.2
"132",2000,"3",2000-03-01,"Bogota",13.1
"133",2001,"3",2001-03-01,"Bogota",13.9
"134",2002,"3",2002-03-01,"Bogota",14.2
"135",2003,"3",2003-03-01,"Bogota",14.3
"136",2004,"3",2004-03-01,"Bogota",13.8
"137",2005,"3",2005-03-01,"Bogota",13.9
"138",2006,"3",2006-03-01,"Bogota",13.3
"139",2007,"3",2007-03-01,"Bogota",13.7
"140",2008,"3",2008-03-01,"Bogota",13
"141",2009,"3",2009-03-01,"Bogota",13.3
"142",2010,"3",2010-03-01,"Bogota",NA
"143",2011,"3",2011-03-01,"Bogota",NA
"144",2012,"3",2012-03-01,"Bogota",13.6
"145",2013,"3",2013-03-01,"Bogota",14.2
"146",2014,"3",2014-03-01,"Bogota",14
"147",2015,"3",2015-03-01,"Bogota",NA
"148",1967,"4",1967-04-01,"Bogota",NA
"149",1968,"4",1968-04-01,"Bogota",13.7
"150",1969,"4",1969-04-01,"Bogota",NA
"151",1970,"4",1970-04-01,"Bogota",14.2
"152",1971,"4",1971-04-01,"Bogota",13.2
"153",1972,"4",1972-04-01,"Bogota",13.3
"154",1973,"4",1973-04-01,"Bogota",13.7
"155",1974,"4",1974-04-01,"Bogota",13.6
"156",1975,"4",1975-04-01,"Bogota",13.3
"157",1976,"4",1976-04-01,"Bogota",NA
"158",1977,"4",1977-04-01,"Bogota",NA
"159",1978,"4",1978-04-01,"Bogota",NA
"160",1979,"4",1979-04-01,"Bogota",NA
"161",1980,"4",1980-04-01,"Bogota",14.1
"162",1981,"4",1981-04-01,"Bogota",14
