m2s_ratio lonm latm area(km2) Vol(km3/yr) nyr yrb yre elev(m) CT CN River_Name OCN
12462 -51.75 -0.75 4618750.0 5389.537 79.0 1928 2006 37.0 BR SA Amazon ATL
10291 12.75 -5.75 3475000.0 1270.203 97.1 1903 2000 270.0 CD AF Congo ATL
11474 -61.75 9.25 836000.0 980.088 75.8 1923 1999 -9999.0 VE SA Orinoco ATL
10374 120.75 32.25 1705383.0 905.141 99.6 1900 2000 19.0 CN AS Changjiang PAC
10245 89.75 24.25 554542.0 670.943 44.3 1956 2000 19.0 BD AS Brahmaputra IND
11381 -90.25 29.75 2896021.0 537.319 79.0 1928 2006 14.1 US NA Mississippi ATL
10381 83.25 70.75 2440000.0 583.768 69.3 1936 2006 2.0 RU AS Yenisey ARC
11933 -57.75 -34.75 2346000.0 476.584 101.3 1905 2006 4.0 AR SA Parana ATL
10095 126.75 72.75 2430000.0 529.295 71.4 1934 2006 0.0 RU AS Lena ARC
17979 106.25 9.75 545000.0 300.351 82.6 1923 2005 -9999.0 LA AS Mekong PAC
14354 -49.25 -2.25 742300.0 357.689 49.4 1978 2006 1.9 BR SA Tocantins ATL
12315 -55.25 -2.75 387378.0 337.803 24.0 1973 1998 -9999.0 BR SA Tapajos ATL
10378 69.25 66.75 2430000.0 396.085 76.0 1930 2006 0.0 RU AS Ob ARC
10576 88.25 24.25 951600.0 379.679 48.0 1949 1996 -9999.0 IN AS Ganges (Ganga)
15233 95.75 17.75 117900.0 256.783 11.0 1978 1988 -9999.0 MM AS Irrawaddy (Ayey
16062 -67.75 48.75 773888.0 224.654 106.8 1900 2006 47.0 US NA St Lawrence
11346 140.25 51.75 1730000.0 305.944 99.9 1900 1999 13.0 RU AS Amur PAC
11103 -52.25 -2.25 446388.0 273.437 26.4 1971 1998 -9999.0 BR SA Xingu ATL
10069 -134.25 68.75 1660000.0 283.431 46.6 1943 2006 -9999.0 CA NA Mackenzie ARC
12217 113.25 22.25 329705.0 219.664 45.7 1915 1986 -9999.0 CN AS Xijiang PAC
14651 -123.75 46.25 613827.0 164.860 106.8 1900 2006 0.0 US NA Columbia PAC
10000 -74.75 10.75 257438.0 230.904 51.0 1950 2000 8.0 CO SA Magdalena ATL
13818 -58.25 -33.75 249312.0 166.907 57.3 1965 2006 1.2 AR SA Uruguay (Urugua
10443 -164.25 62.75 831386.0 227.464 50.0 1956 2006 6.1 AK NA Yukon PAC
36429 -77.25 6.25 9432.0 55.789 24.2 1966 1990 18.0 CO SA Atrato ATL
10000 28.75 45.25 807000.0 203.739 103.0 1900 2002 4.0 RO EU Danube MED
10139 6.25 4.75 2209302.5 180.524 73.0 1915 2006 -999.0 Ni Ni Niger (Issa
